assertion,type,property
"assert (!({is_8bit, in_code} == 4'b0000) || (out_data == 17'h10000)) else $error(""out_data mismatch when {is_8bit, in_code}==4'b0000"");",Immediate,Combinational case-branch correctness — Booth recoding output for the all-zero encoding
"assert (!({is_8bit, in_code} == 4'b0001) || (out_data == {~src_data[15], src_data})) else $error(""out_data mismatch when {is_8bit, in_code}==4'b0001"");",Immediate,Combinational case-branch correctness — Booth recoding with sign-bit inversion
"assert (di_mans[35:0] == (oi_nan ? {36'b0} : di_nan ? {di_mant_pre[37:27],25'b0} : di_manm)) else $error(""di_mans[35:0] mux select mismatch"");",Immediate,Three-way ternary multiplexer — FP16 NaN-handling mantissa selection
"assert (in_mask_op == (in_op_valid ? in_op[47:0] : 48'b0)) else $error(""in_mask_op mux select mismatch"");",Immediate,Two-way ternary multiplexer — operand-valid gated bus forwarding
"assert (cacc2sdp_valid == dbuf_rd_valid_d3) else $error(""cacc2sdp_valid passthrough mismatch"");",Immediate,Port passthrough — pipeline-output valid forwarded from internal stage
"assert (csb2cacc_req_prdy == (1'b1)) else $error(""csb2cacc_req_prdy assignment mismatch"");",Immediate,Constant driver invariant — CSB ready always asserted (back-pressure-free port)
"assert (!(nvdla_core_rstn) || (accu2sc_credit_vld == 1'b0)) else $error(""accu2sc_credit_vld must reset to 0 on async reset"");",Immediate,Async reset value — credit pulse held low while reset is active
"assert property (@(posedge nvdla_core_clk) !nvdla_core_rstn |-> cfg_is_int8_d1 == 1'b0) else $error(""cfg_is_int8_d1 async reset value mismatch"");",Concurrent reset implication,Async reset value — pipeline configuration register cleared on reset
"assert property (@(posedge nvdla_core_clk) !nvdla_core_rstn |-> accu_channel_st == {9{1'b1}}) else $error(""accu_channel_st async reset value mismatch: expected {9{1'b1}}"");",Concurrent reset implication,Async reset to non-zero value — accumulator state reset to all-ones bit-replicated literal
"assert property (@(posedge nvdla_core_clk) !nvdla_core_rstn |-> wait_for_op_en == 1'b1) else $error(""wait_for_op_en async reset value mismatch: expected 1'b1"");",Concurrent reset implication,Async reset to active-high — control FSM idle state on reset
"assert property (@(posedge clock) disable iff (reset) (reset) |=> mem_0 == 8'h0) else $error(""mem_0 must reset to 8'h0"");",Concurrent sequential reset,Synchronous memory array reset — FIFO storage cleared on reset edge
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) ((cfg_reg_en) == 1'b1) |=> cfg_is_int8_d1 == $past(cfg_is_int8)) else $error(""cfg_is_int8_d1 functional update mismatch"");",Concurrent sequential ($past),Sequential register-update causality — pipeline stage captures source on enable
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) ((layer_st | accu_valid[8]) == 1'b1) |=> accu_cnt == $past(accu_cnt_w)) else $error(""accu_cnt functional update mismatch: expected accu_cnt_w"");",Concurrent sequential ($past),Compound-predicate gated register update — counter latches on layer-start OR last-stage-valid
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) ((layer_st) == 1'b1) |=> accu_mode_d0 == $past({is_x8, is_x4, is_x2, is_x1})) else $error(""accu_mode_d0 functional update mismatch: expected {is_x8, is_x4, is_x2, is_x1}"");",Concurrent sequential ($past),Mode register capture — concatenated one-hot mode bits latched on layer start
"assert (io_count == (mcount + {3'h0, _mslice_io_out_valid})) else $error(""io_count assignment mismatch"");",Immediate,Counter arithmetic invariant — FIFO occupancy increment with width-extended valid bit
"assert (grant_tmp == ({req,req} & ~({req,req} - (2*REQ_NUM)'(prio)))) else $error(""grant_tmp assignment mismatch"");",Immediate,Round-robin arbitration formula — priority-shifted grant computed via duplicated request mask
"assert (prio_en == (|req)) else $error(""prio_en assignment mismatch"");",Immediate,Priority-enable as OR-reduction — arbiter active when any request is pending
"assert (prio_new == ({grant[REQ_NUM-2:0],grant[REQ_NUM-1]})) else $error(""prio_new assignment mismatch"");",Immediate,Priority rotation — round-robin pointer rotates by one on grant
"assert (entryCounterN == (entryCounter + single_push - single_pop)) else $error(""entryCounterN assignment mismatch"");",Immediate,FIFO occupancy conservation — next-cycle count = current + push − pop
"assert (fifo_outData == d_out[DWIDTH*rdPtr+DWIDTH-1 -: DWIDTH]) else $error(""fifo_outData passthrough mismatch"");",Immediate,Indexed FIFO data extraction — output data sliced from depth-wide register at read pointer
"assert (w_valid_chkTrap[j] == (!(|trap_flag[j-1:0]) && rob2rt_write_valid[j])) else $error(""w_valid_chkTrap[j] assignment mismatch"");",Immediate,Exception-aware valid composition — write-back valid masked by any preceding trap
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) (mon_op_en_neg) |=> mon_layer_end_flg == $past(1'b1)) else $error(""mon_layer_end_flg functional update mismatch: expected 1'b1 on mon_op_en_neg"");",Concurrent sequential edge-trigger,Falling-edge flag set — layer-end flag asserted one cycle after operation-enable falls
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) ((mon_op_en_pos) == 1'b1) |=> mon_reg2dp_cube_in_channel == $past(reg2dp_cube_in_channel)) else $error(""mon_reg2dp_cube_in_channel functional update mismatch"");",Concurrent sequential ($past),Configuration register capture — input-cube-channel latched on operation-enable rising edge
"assert property (@(posedge nvdla_core_clk) !nvdla_core_rstn |-> mon_reg2dp_nan_to_zero == 1'b0) else $error(""mon_reg2dp_nan_to_zero async reset value mismatch: expected 1'b0"");",Concurrent reset implication,Async reset of NaN-to-zero mode bit — FP16 special-value handler defaults to disabled on reset
"assert property (@(posedge nvdla_core_clk) !nvdla_core_rstn |-> mon_reg2dp_lut_le_function == 1'b0) else $error(""mon_reg2dp_lut_le_function async reset value mismatch: expected 1'b0"");",Concurrent reset implication,Async reset of LUT-enable mode bit — LUT-based nonlinear path defaults to bypassed on reset
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) (csb2rbk_req_pvld && csb2rbk_req_pd[56]) |-> (reg_wr_en == 1'b1)) else $error(""Write enable not asserted for CSB write request"");",Concurrent predicate implication,CSB request-type → write-enable predicate — write-mode bit in payload triggers register write
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) (csb2rbk_req_pvld && ~csb2rbk_req_pd[56]) |-> (reg_wr_en == 1'b0)) else $error(""Write enable erroneously asserted for CSB read request"");",Concurrent predicate implication,Complementary case — read-mode CSB request must NOT raise write-enable
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) (csb2rbk_req_pvld && !csb2rbk_req_prdy) |-> (csb2rbk_req_pvld ##1 (csb2rbk_req_pvld && csb2rbk_req_prdy))) else $error(""CSB valid not acknowledged by ready"");",Concurrent sequential (##1),Valid-ready handshake liveness — outstanding valid is acknowledged by ready next cycle
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) (dma_wr_data_vld && dma_wr_data_rdy) |-> (dma_wr_data_pd == cvif2rbk_rd_rsp_pd)) else $error(""DMA write data mismatch with read response data"");",Concurrent predicate implication,Data-path integrity on handshake — DMA write payload equals corresponding read-response payload when both valid and ready
"assert property (@(posedge nvdla_core_clk) disable iff (!nvdla_core_rstn) (contract_lit_dx && split_lit_dx) |-> (contract_lit_dx == 1'b0 && split_lit_dx == 1'b0)) else $error(""Reshape mode not one-hot encoded"");",Concurrent assertion (mutual exclusion),Mode one-hot invariant — Rubik reshape modes (contract / split) cannot both be active simultaneously
"assert (!(cvif2rbk_wr_rsp_complete && mcif2rbk_wr_rsp_complete) || (inwidth * 2 == outwidth)) else $error(""Pixel count mismatch between input and output"");",Immediate,Semantic conservation law — Rubik output width = 2 × input width when both memory paths complete (split-mode geometry)
